City,Province,lon,lat
Behram Hathiun,Sindh,67.9662323,27.71514176
Chamber,Sindh,68.81202936,25.29460397
Chhor,Sindh,69.77983475,25.51378446
Khuhra,Sindh,68.51790905,27.37896998
Kotri,Sindh,68.31175983,25.3687101
Kunri,Sindh,69.56663132,25.17620402
Samarao,Sindh,69.39500213,25.28391389
Miro Khan,Sindh,68.08811188,27.76102607
Pithoro,Sindh,69.38458443,25.50731632
Saleh Pat,Sindh,69.04533863,27.52003241
Sarhari,Sindh,68.47866297,26.09665958
Shahpur Chakar,Sindh,68.65008831,26.15466755
Khadro,Sindh,68.71776581,26.14935151
Sita,Sindh,67.84606934,27.03818052
Randhan,Sindh,67.95329332,27.17599191
Mohenjo-Daro,Sindh,68.13317299,27.32518632
Sobhodero,Sindh,68.39838982,27.30825679
Warrah,Sindh,67.79917359,27.44818128
Shaheed Fazal Rahu,Sindh,68.56103897,24.61846187
Mureed Shakh,Sindh,69.78970528,28.29682353
Keti Bander,Sindh,67.54291534,24.18653424
Manjhand,Sindh,68.23855162,25.90889538
Jhando Mari,Sindh,68.91028404,25.65158509
Tando Ghulam Haider,Sindh,68.67918491,24.96734622
